entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
host,tmtp-000112,2025-12-31,critical,1.0,1.0,0.005842546625891454,116.72270777479227,1.0,1.0,"siem_unique_destination_addr:-2.70 (v=14, base=18); siem_unique_category:+2.22 (v=2, base=1); siem_unique_source_process:-1.57 (v=38, base=48); pan_share_of_all_events:-0.95 (v=0, base=0); siem_unique_event_class:-0.94 (v=9, base=12)",siem_unique_destination_addr,-2.697963037906381,14.0,18.0,siem_unique_category,2.22332674570829,2.0,1.0,siem_unique_source_process,-1.5738117721120555,38.0,48.5,pan_share_of_all_events,-0.9549383819426756,0.1451406103085734,0.23092243189547815,siem_unique_event_class,-0.9442870632672333,9.0,12.5
host,tmtp-000262,2025-12-31,high,0.1587369723917349,4.5,-0.19271918770763824,0.23551688748972932,7.0,2.0,"siem_unique_hours:-4.05 (v=7, base=13); siem_events_total:-2.93 (v=1520, base=2363); siem_unique_destination_addr:-1.35 (v=3, base=5); siem_unique_name:-0.67 (v=5, base=6); siem_unique_users:-0.67 (v=6, base=7)",siem_unique_hours,-4.046944556859572,7.0,13.0,siem_events_total,-2.9309057228802566,1520.0,2363.0,siem_unique_destination_addr,-1.3489815189531904,3.0,5.0,siem_unique_name,-0.6744907594765952,5.0,6.0,siem_unique_users,-0.6744907594765952,6.0,7.0
host,tmtp-000247,2025-12-31,high,0.1952859064061064,5.0,-0.1708290143662713,-0.09667002519802192,4.0,6.0,"siem_night_share:-35.01 (v=0, base=0); siem_business_share:+13.01 (v=1, base=0); siem_events_total:-9.92 (v=11324, base=19304); siem_unique_hours:-9.13 (v=14, base=24); siem_unique_source_process:+4.55 (v=51, base=38)",siem_night_share,-35.0058882219827,0.0,0.24071169218957267,siem_business_share,13.005278299923152,0.5921052631578947,0.3987721595130921,siem_events_total,-9.921541494236369,11324.0,19304.0,siem_unique_hours,-9.128709291752767,14.0,24.0,siem_unique_source_process,4.552812626467017,51.0,37.5
host,tmtp-003146,2025-12-31,low,0.03099504642784719,15.0,-0.26544737939346036,-0.1404162520933756,21.0,9.0,"siem_unique_source_process:-7.64 (v=28, base=45); siem_unique_users:-6.74 (v=3, base=8); siem_night_share:+4.08 (v=0, base=0); siem_events_total:-3.45 (v=1407, base=2866); siem_business_share:-2.30 (v=0, base=1)",siem_unique_source_process,-7.644228607401412,28.0,45.0,siem_unique_users,-6.7449075947659525,3.0,8.0,siem_night_share,4.0821703770783735,0.2430703624733475,0.12294084759366275,siem_events_total,-3.4480534621929624,1407.0,2866.5,siem_business_share,-2.2989942387697404,0.4442075337597725,0.6175836930521256
host,tmtp-000085,2025-12-31,low,0.03952748390505503,18.0,-0.25986597530383343,-0.4095123432246268,17.0,19.0,"siem_events_total:-0.65 (v=2137, base=2394); day_of_week:-0.34 (v=2, base=3); siem_unique_source_process:-0.34 (v=30, base=31); siem_business_share:+0.29 (v=1, base=1); siem_night_share:-0.23 (v=0, base=0)",siem_events_total,-0.6492761516456945,2137.0,2394.5,day_of_week,-0.3372453797382976,2.0,3.0,siem_unique_source_process,-0.3372453797382976,30.0,31.0,siem_business_share,0.2866387861274899,0.6663547028544688,0.6552758749022101,siem_night_share,-0.2295320557022251,0.1094992980814225,0.11550196542890084
host,tmtp-000392,2025-12-31,low,0.08014344102611792,18.5,-0.23623612658327825,-0.49559618063373745,10.0,27.0,"siem_business_share:-0.85 (v=0, base=0); siem_events_total:+0.74 (v=3953, base=3879); siem_night_share:+0.34 (v=0, base=0); day_of_week:-0.34 (v=2, base=3); is_weekend:+0.00 (v=0, base=0)",siem_business_share,-0.8529064248769435,0.3716164938021755,0.3788901312197661,siem_events_total,0.7394417215002673,3953.0,3879.0,siem_night_share,0.33798727334671264,0.2522135087275487,0.2496759231929246,day_of_week,-0.3372453797382976,2.0,3.0,is_weekend,0.0,0.0,0.0
host,cplus-0107994,2025-12-31,low,0.03997540272841097,19.0,-0.2594647751120545,-0.46763269802020213,15.0,23.0,"siem_events_total:+1.09 (v=727, base=628); siem_business_share:+0.78 (v=0, base=0); siem_unique_source_process:+0.67 (v=3, base=2); day_of_week:-0.34 (v=2, base=3); siem_night_share:-0.21 (v=0, base=0)",siem_events_total,1.0891367181712235,727.0,628.5,siem_business_share,0.7754469019983397,0.4250343878954608,0.40416979077864856,siem_unique_source_process,0.6744907594765952,3.0,2.5,day_of_week,-0.3372453797382976,2.0,3.0,siem_night_share,-0.21314945703610724,0.2462173314993122,0.2503968253968254
host,tmtp-004132,2025-12-31,low,0.02552578444519024,19.5,-0.2679621988235872,-0.4000800919877905,22.0,17.0,"siem_night_share:-0.35 (v=0, base=0); day_of_week:-0.34 (v=2, base=3); siem_events_total:-0.33 (v=635, base=658); siem_business_share:+0.04 (v=0, base=0); is_weekend:+0.00 (v=0, base=0)",siem_night_share,-0.3500094734882805,0.2125984251968504,0.2213794800785724,day_of_week,-0.3372453797382976,2.0,3.0,siem_events_total,-0.3300699461268445,635.0,658.0,siem_business_share,0.04000273969448847,0.3968503937007874,0.39564301877304725,is_weekend,0.0,0.0,0.0
host,tmtp-000323,2025-12-31,low,0.009708644860513744,20.0,-0.2772784452322336,-0.3201893417778454,26.0,14.0,"siem_night_share:+1.87 (v=0, base=0); siem_business_share:-1.47 (v=0, base=0); siem_events_total:-1.40 (v=2768, base=3426); siem_unique_destination_addr:-0.67 (v=4, base=5); siem_unique_source_process:-0.67 (v=31, base=33)",siem_night_share,1.867527648627661,0.2481936416184971,0.19710538445540932,siem_business_share,-1.4687010315184459,0.4017341040462427,0.49602373288581986,siem_events_total,-1.4011932839047752,2768.0,3425.5,siem_unique_destination_addr,-0.6744907594765952,4.0,5.0,siem_unique_source_process,-0.6744907594765952,31.0,33.0
host,tmtp-000907,2025-12-31,low,0.03713643891219087,20.0,-0.2611105324381894,-0.4640210161589088,18.0,22.0,"siem_night_share:+0.73 (v=0, base=0); siem_events_total:-0.37 (v=493, base=514); day_of_week:-0.34 (v=2, base=3); siem_business_share:+0.14 (v=0, base=0); is_weekend:+0.00 (v=0, base=0)",siem_night_share,0.7348558355732314,0.2373225152129817,0.2293325673837539,siem_events_total,-0.3679040506235974,493.0,514.0,day_of_week,-0.3372453797382976,2.0,3.0,siem_business_share,0.1425583645615335,0.4137931034482758,0.41102516095125474,is_weekend,0.0,0.0,0.0
