entity,date,score_isolation_forest,score_lof,score_isolation_forest_norm,score_lof_norm,score_combined_norm,rank_isolation_forest,rank_lof,rank_combined
tmtp-000112,2025-12-31,0.005842546625891454,116.72270777479227,1.0,1.0,1.0,1.0,1.0,1.0
tmtp-000262,2025-12-31,-0.19271918770763824,0.23551688748972932,0.3112367527797237,0.006237192003746133,0.1587369723917349,7.0,2.0,4.5
tmtp-000247,2025-12-31,-0.1708290143662713,-0.09667002519802192,0.3871685375388612,0.003403275273351618,0.1952859064061064,4.0,6.0,5.0
tmtp-000177,2025-12-31,-0.2421391873210592,-0.02829534882199991,0.13981057378498896,0.00398658584916427,0.07189857981707662,11.0,3.0,7.0
tmtp-005278,2025-12-31,-0.1573271688030216,-0.2669597181408525,0.43400321605748143,0.001950518432512275,0.21797686724499685,3.0,12.0,7.5
tmtp-000833,2025-12-31,-0.1789614769360095,-0.3844510393044469,0.35895896661508236,0.0009481892979065379,0.17995357795649444,5.0,16.0,10.5
tmtp-000417,2025-12-31,-0.18668281066939946,-0.32256366156607874,0.33217550346226743,0.001476156139688362,0.1668258298009779,6.0,15.0,10.5
tmtp-000565,2025-12-31,-0.24929172686962503,-0.1361048110478773,0.11500012185235918,0.003066853532726101,0.059033487692542644,13.0,8.0,10.5
cplus-010620,2025-12-31,-0.21320263831676034,-0.28237264104010396,0.24018455330549335,0.0018190293870376669,0.12100179134626551,9.0,13.0,11.0
tmtp-000224,2025-12-31,-0.24748318786029222,-0.16049335651644991,0.12127351186365032,0.002858792635702316,0.06206615224967632,12.0,10.0,11.0
tmtp-000187,2025-12-31,-0.26263917465927744,-0.037461572771893215,0.06870101234588213,0.003908387959921828,0.03630470015290198,19.0,4.0,11.5
tmtp-000282,2025-12-31,-0.25931320484838044,-0.20422279634632723,0.08023800750156554,0.0024857328118158854,0.04136187015669071,14.0,11.0,12.5
tmtp-003213,2025-12-31,0.0023869798590561153,-0.4763132613741219,0.9880134639471162,0.00016450433600325915,0.4940889841415597,2.0,25.0,13.5
tmtp-003672,2025-12-31,-0.2647651676302478,-0.10315963322411958,0.061326450337910315,0.0033479118377181746,0.03233718108781425,20.0,7.0,13.5
tmtp-003612,2025-12-31,-0.2004818627445114,-0.43204755638181225,0.2843098865158965,0.0005421390867085955,0.14242601280130254,8.0,20.0,14.0
tmtp-000143,2025-12-31,-0.2703668610600069,-0.09334568129140797,0.041895513306847945,0.0034316355532263217,0.022663574430037133,23.0,5.0,14.0
tmtp-003146,2025-12-31,-0.26544737939346036,-0.1404162520933756,0.05896002061820983,0.0030300722374845507,0.03099504642784719,21.0,9.0,15.0
tmtp-000085,2025-12-31,-0.25986597530383343,-0.4095123432246268,0.0783205787726962,0.0007343890374138605,0.03952748390505503,17.0,19.0,18.0
tmtp-000392,2025-12-31,-0.23623612658327825,-0.49559618063373745,0.16028688205223585,0.0,0.08014344102611792,10.0,27.0,18.5
cplus-0107994,2025-12-31,-0.2594647751120545,-0.46763269802020213,0.0797122464462414,0.00023855901058053905,0.03997540272841097,15.0,23.0,19.0
tmtp-004132,2025-12-31,-0.2679621988235872,-0.4000800919877905,0.05023671246077143,0.0008148564296090512,0.02552578444519024,22.0,17.0,19.5
tmtp-004135,2025-12-31,-0.2597652097375499,-0.47171409849686485,0.07867011046305125,0.00020374021233026976,0.03943692533769076,16.0,24.0,20.0
tmtp-000907,2025-12-31,-0.2611105324381894,-0.4640210161589088,0.07400350722773127,0.000269370596650465,0.03713643891219087,18.0,22.0,20.0
tmtp-000323,2025-12-31,-0.2772784452322336,-0.3201893417778454,0.017920878043525372,0.0014964116775021167,0.009708644860513744,26.0,14.0,20.0
tmtp-004018,2025-12-31,-0.27147829554808556,-0.40591669588425994,0.038040212437065034,0.0007650638315290713,0.019402638134297052,24.0,18.0,21.0
tmtp-003312,2025-12-31,-0.27380094431806157,-0.45399173476344934,0.02998349841645871,0.0003549313073673956,0.015169214861913052,25.0,21.0,23.0
tmtp-000766,2025-12-31,-0.2824448077515218,-0.47755551516702976,0.0,0.00015390655604066676,7.695327802033338e-05,27.0,26.0,26.5
